state,year,murder,attempt_to_commit_murder,culpable_homicide_not_amounting_to_murder,attempt_to_commit_culpable_homicide,rape,custodial_rape,custodial_gang_rape,custodial_other_rape,rape_other_than_custodial,rape_gang_rape,rape_others,attempt_to_commit_rape,kidnapping_&_abduction_total,kidnapping_&_abduction,kidnapping_&_abduction_in_order_to_murder,kidnapping_for_ransom,kidnapping_&_abduction_of_women_to_compel_her_for_marriage,other_kidnapping,dacoity,dacoity_with_murder,other_dacoity,making_preparation_and_assembly_for_committing_dacoity,robbery,criminal_trespass/burglary,criminal_trespass_or_burglary,house_trespass_&_house_breaking,theft,auto_theft,other_thefts,unlawful_assembly,riots,riots_communal,riots_industrial,riots_political,riots_caste_conflict,riots_sc/sts_vs_non-scs/sts,riots_other_caste_conflict,riots_agrarian,riots_students,riots_sectarian,riots_others,criminal_breach_of_trust,cheating,forgery,counterfeiting,counterfeit_offences_related_to_counterfeit_coin,counterfeiting_government_stamp,counterfeit_currency_&_bank_notes,counterfeiting_currency_notes/bank_notes,using_forged_or_counterfeiting_currency/bank_notes,possession_of_forged_or_counterfeiting_currency/bank_notes,making_or_possessing_materials_for_forged_currency/bank_notes,making_or_using_documents_resembling_currency,arson,grievous_hurt,hurt,acid_attack,attempt_to_acid_attack,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty,sexual_harassment,assault_or_use_of_criminal_force_to_women_with_intent_to_disrobe,voyeurism,stalking,other_assault_on_women,insult_to_the_modesty_of_women,at_office_premises,other_places_related_to_work,in_public_transport_system,"places_other_than_231,_232_&_233",cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_country,causing_death_by_negligence,deaths_due_to_negligent_driving/act,deaths_due_to_other_causes,offences_against_state,sedition,other_offences_against_state,offences_promoting_enmity_between_different_groups,promoting_enmity_between_different_groups,"imputation,_assertions_prejudicial_to_national_integration",extortion,disclosure_of_identity_of_victims,incidence_of_rash_driving,humantrafficking,unnatural_offence,other_ipc_crimes,total_cognizable_ipc_crimes,s.no,total_population,population_male,population_female,total_crimes,crime_rate
andaman & nicobar islands,6042,8,11,4,2,32,0,0,0,32,1,31,0,22,14,0,0,0,8,0,0,0,0,2,64,38,26,45,4,41,1,10,0,0,0,0,0,0,0,0,0,10,6,71,4,1,0,0,1,0,1,0,0,0,5,29,29,0,0,3,41,18,1,1,4,17,5,0,0,0,5,14,0,24,20,4,0,0,0,1,1,0,0,0,198,0,2,141,746,29,100608,53247,47361,746,741.4917302798982
andhra pradesh,40280,1175,1540,52,1,961,0,0,0,961,14,947,165,1066,355,5,7,274,425,75,1,74,1,433,4719,3510,1209,15617,4540,11077,59,1013,10,1,139,19,19,0,0,0,0,844,935,5091,199,162,6,0,156,41,102,12,1,0,450,597,589,5,3,215,4547,1072,334,71,504,2566,2649,3,84,65,2497,6362,0,7379,7260,119,1,1,0,21,21,0,276,0,14653,2,1,44187,114604,3,18171615,9192368,8979247,114604,630.6759195591586
assam,56392,1451,1142,57,14,1980,0,0,0,1980,23,1957,227,4823,0,6,61,3883,873,267,1,266,20,1038,4954,4489,465,12737,3498,9239,834,2640,0,0,2,0,0,0,0,0,0,2638,1952,2956,99,62,0,1,61,59,1,1,0,0,743,7583,7583,0,0,188,3099,458,399,0,0,2242,1,0,1,0,0,9626,1,2079,602,1477,56,1,55,0,0,0,1226,0,3202,68,0,29212,94337,19,1391154,720132,671022,94337,6781.204668929536
bihar,92644,3403,4379,201,463,1127,0,0,0,1127,24,1103,484,6570,518,632,62,4641,717,538,12,526,56,1600,4674,4491,183,22888,8828,14060,360,13566,59,0,3,6,0,6,243,5,0,13250,1219,5187,967,310,294,0,16,13,2,1,0,0,517,17351,17347,4,0,1373,572,271,61,4,7,229,69,0,0,0,69,4672,5,4719,4332,387,20,16,4,0,0,0,972,0,3485,44,5,75799,177595,11,6714516,3558722,3155794,177595,2644.9411990380245
chandigarh,2014,24,33,6,4,59,0,0,0,59,0,59,6,187,115,0,1,43,28,6,0,6,2,65,134,85,49,1260,817,443,0,33,0,0,0,0,0,0,0,6,0,27,23,247,4,0,0,0,0,0,0,0,0,0,13,19,19,0,0,2,87,31,3,2,10,41,2,0,0,0,2,141,0,97,89,8,0,0,0,0,0,0,6,0,277,0,4,480,3221,21,960787,525226,435561,3221,335.2460014550571
chhattisgarh,56392,998,716,29,0,1436,0,0,0,1436,64,1372,21,2014,1274,13,5,263,459,58,6,52,6,405,3247,2413,834,6098,2668,3430,65,809,0,3,11,154,13,141,7,1,0,633,170,930,59,21,0,0,21,12,9,0,0,0,297,3961,3960,1,0,128,2122,649,76,9,72,1316,79,0,13,0,66,964,0,3762,3393,369,7,1,6,3,3,0,74,0,7759,43,22,21897,58200,15,3137918,1612019,1525899,58200,1854.732979000726
delhi,38266,586,770,58,988,2096,0,0,0,2096,147,1949,70,7143,6651,0,38,2,452,82,1,81,5,6464,10309,6883,3426,78753,23384,55369,0,160,1,0,5,16,0,16,0,3,0,135,676,4601,359,74,1,0,73,7,5,61,0,0,190,690,659,20,11,153,4322,1186,379,34,541,2182,1361,11,25,8,1317,3173,0,1959,1629,330,0,0,0,13,13,0,235,1,8760,13,194,21396,155654,8,13481997,7201322,6280675,155654,1154.5322254559173
dnh,6042,11,7,2,3,7,0,0,0,7,0,7,0,24,20,0,0,0,4,0,0,0,0,7,36,1,35,69,37,32,0,10,0,0,0,0,0,0,0,0,0,10,2,60,4,1,0,0,1,0,1,0,0,0,5,28,28,0,0,0,5,3,0,0,0,2,1,0,0,0,1,7,0,82,68,14,0,0,0,0,0,0,13,0,59,0,0,67,510,31,13039,8193,4846,510,3911.342894393742
goa,6042,34,42,6,0,95,0,0,0,95,2,93,2,152,134,0,1,0,17,13,0,13,0,32,372,297,75,1154,386,768,32,133,0,0,0,0,0,0,0,0,0,133,82,260,9,15,0,0,15,9,6,0,0,0,41,114,114,0,0,0,202,50,7,11,25,109,57,1,1,0,55,35,0,223,215,8,0,0,0,1,1,0,18,0,607,14,0,721,4466,33,1458545,739140,719405,4466,306.19555790188167
gujarat,82574,1124,756,57,3,841,0,0,0,841,16,825,6,2722,868,1,36,1378,439,296,0,296,15,1209,4477,1638,2839,14337,8077,6260,243,1354,57,3,12,101,31,70,60,1,2,1118,1070,1574,246,96,5,0,91,43,32,11,0,5,217,3363,3353,6,4,23,1352,405,51,7,62,827,173,1,3,0,169,5991,0,7132,7039,93,0,0,0,11,10,1,185,0,29677,3,22,52810,131385,5,17835049,9541688,8293361,131385,736.6674462178378
haryana,48336,1106,783,65,9,1174,0,0,0,1174,230,944,136,3082,149,23,14,886,2010,172,3,169,81,874,6717,5764,953,20314,14637,5677,0,1944,207,0,0,34,2,32,0,0,0,1703,786,1945,667,19,0,0,19,4,12,3,0,0,203,1671,1656,12,3,293,1688,599,229,26,284,550,102,1,1,2,98,3478,0,4150,4002,148,0,0,0,3,3,0,207,1,6202,9,143,21923,79947,12,5952223,3181968,2770255,79947,1343.1452417021337
himachal pradesh,30210,130,63,9,0,283,0,0,0,283,6,277,5,304,69,4,1,175,55,4,0,4,0,16,884,425,459,652,252,400,21,478,0,0,1,0,0,0,0,6,0,471,129,389,49,2,0,0,2,0,1,1,0,0,97,593,592,1,0,1,538,159,18,3,62,296,60,0,0,0,60,325,0,776,730,46,1,1,0,0,0,0,5,0,2336,1,12,5997,14160,26,169758,93364,76394,14160,8341.285830417417
j&k,60420,156,484,18,2,331,0,0,0,331,0,331,20,860,287,19,0,236,318,6,0,6,0,89,1367,695,672,1773,720,1053,0,1527,0,0,65,0,0,0,0,0,0,1462,96,497,24,13,0,0,13,9,2,2,0,0,159,341,339,2,0,5,1421,242,123,0,1,1055,237,0,8,6,223,467,0,782,766,16,5,0,5,0,0,0,0,0,5003,0,30,8135,23848,18,1804987,953292,851695,23848,1321.2283523371636
jharkhand,52364,1658,907,59,5,1050,0,0,0,1050,52,998,208,1423,100,26,38,819,440,244,5,239,20,521,1442,842,600,7046,2498,4548,74,1975,349,0,13,70,4,66,6,0,0,1537,790,1855,356,6,0,0,6,6,0,0,0,0,94,1344,1339,2,3,350,440,114,65,0,5,256,18,0,1,0,17,1462,2,1671,1635,36,18,18,0,0,0,0,500,0,2561,150,11,17075,45335,14,4278259,2247819,2030440,45335,1059.6600159083403
karnataka,72504,1636,2225,99,85,1324,0,0,0,1324,25,1299,22,1933,966,2,40,210,715,292,1,291,419,2516,6032,4242,1790,21019,9376,11643,409,6520,38,5,47,87,0,87,73,6,0,6264,432,6935,351,54,0,1,53,26,22,4,0,1,484,1717,1712,3,2,313,5263,253,163,8,64,4775,170,3,9,1,157,3025,0,9285,8764,521,0,0,0,46,46,0,206,0,31907,18,14,32587,137338,6,15799896,8112840,7687056,137338,869.2335696386862
kerala,42294,367,676,84,1433,1347,0,0,0,1347,8,1339,36,222,41,0,4,89,88,71,1,70,84,869,3452,2576,876,4700,1607,3093,558,5820,8,0,769,0,0,0,0,160,0,4883,366,6091,156,66,0,0,66,39,9,4,0,14,453,1827,1823,4,0,28,4367,980,398,18,37,2934,257,6,3,11,237,4919,0,3381,3321,60,7,5,2,65,59,6,37,0,108962,11,122,55955,206789,17,2755973,1335615,1420358,206789,7503.30282626136
madhya pradesh,110770,2274,2439,141,72,5076,0,0,0,5076,284,4792,56,7833,3224,19,31,2364,2195,105,2,103,180,1969,12110,9858,2252,29244,15323,13921,13,1850,32,9,16,168,22,146,21,0,0,1604,610,1888,191,32,0,0,32,10,12,2,7,1,865,12113,12097,14,2,733,9609,3163,132,86,401,5827,429,1,21,3,404,6451,0,8727,7920,807,0,0,0,5,3,2,102,0,39259,50,128,127869,272423,9,11023091,5761143,5261948,272423,2471.3848411484582
maharashtra,92644,2670,2613,171,11,3438,0,0,0,3438,126,3312,15,3793,1941,21,34,1046,751,885,13,872,293,9466,17171,13446,3725,56283,20433,35850,1006,7760,99,5,128,388,147,241,58,4,0,7078,1958,9959,1293,201,0,0,201,111,71,19,0,0,1180,8127,8120,5,2,279,10001,4052,309,105,797,4738,1575,10,48,8,1509,7696,1,12619,12039,580,1,0,1,33,31,2,780,0,26060,108,102,62286,249834,1,37722136,19961736,17760400,249834,662.3007774533235
manipur,20140,96,227,5,0,75,0,0,0,75,0,75,1,182,7,0,13,102,60,0,0,0,0,7,75,44,31,1001,793,208,0,101,1,0,0,0,0,0,0,1,0,99,58,99,13,1,0,0,1,1,0,0,0,0,43,274,274,0,0,1,98,5,4,0,2,87,0,0,0,0,0,41,0,112,109,3,10,0,10,1,1,0,78,0,635,3,0,404,3641,25,264986,128931,136055,3641,1374.0348546715675
meghalaya,22154,159,115,12,0,118,0,0,0,118,3,115,26,179,28,2,28,9,112,56,0,56,0,97,146,110,36,857,179,678,0,8,1,0,0,0,0,0,0,0,0,7,61,172,40,10,0,0,10,0,6,4,0,0,38,153,153,0,0,1,105,0,10,1,4,90,54,0,0,0,54,42,0,148,124,24,32,0,32,0,0,0,135,0,92,0,0,823,3679,27,143007,70028,72979,3679,2572.6013411930885
mizoram,18126,42,22,6,1,120,0,0,0,120,7,113,1,7,4,0,2,0,1,8,0,8,0,6,470,266,204,852,91,761,0,0,0,0,0,0,0,0,0,0,0,0,18,61,5,7,0,0,7,3,0,4,0,0,22,100,100,0,0,0,97,53,12,2,6,24,29,0,29,0,0,8,0,65,58,7,1,0,1,1,1,0,21,0,20,0,4,146,2140,24,291822,143803,148019,2140,733.3237384432977
nagaland,22154,58,56,3,0,30,0,0,0,30,4,26,3,37,11,0,7,2,17,8,0,8,0,38,54,48,6,418,218,200,1,10,2,0,0,6,0,6,0,0,0,2,9,56,17,4,0,0,4,0,1,1,2,0,7,23,23,0,0,0,16,5,5,0,1,5,1,0,0,0,1,3,0,20,17,3,0,0,0,0,0,0,129,0,11,3,0,142,1157,28,123777,65017,58760,1157,934.745550465757
orissa,72504,1450,2345,32,1,1978,0,0,0,1978,82,1896,33,3073,1022,4,14,1313,720,484,1,483,116,1828,4082,3327,755,9410,3401,6009,112,1732,9,40,98,134,7,127,21,17,5,1408,485,2246,36,21,0,0,21,9,6,4,2,0,477,5531,5519,9,3,441,5543,802,1142,28,134,3437,379,8,10,1,360,3114,0,4400,4355,45,6,2,4,5,5,0,394,0,4166,42,23,20584,74569,16,3003234,1560423,1442811,74569,2482.9567060042605
pondy,4028,25,15,3,0,10,1,0,1,9,1,8,0,13,8,0,1,1,3,3,1,2,5,6,61,42,19,424,285,139,18,39,13,0,6,2,1,1,0,2,0,16,7,59,13,0,0,0,0,0,0,0,0,0,1,105,105,0,0,1,32,12,6,1,1,12,8,1,2,0,5,4,0,209,198,11,0,0,0,4,4,0,9,1,1173,0,0,1336,3584,22,541801,266359,275442,3584,661.4974870847415
punjab,56392,767,864,98,46,981,0,0,0,981,24,957,154,1550,141,36,7,806,560,32,1,31,136,157,2856,2047,809,5067,1767,3300,0,0,0,0,0,0,0,0,0,0,0,0,295,3712,45,21,0,0,21,15,1,2,0,3,63,3017,3000,15,2,90,1113,344,41,48,48,632,35,0,3,0,32,1681,0,3206,3173,33,0,0,0,0,0,0,29,0,1692,1,76,9378,37162,13,5821876,3106473,2715403,37162,638.3165838640329
rajasthan,84588,1637,1794,81,182,3759,3,2,1,3756,414,3342,373,5671,1324,94,21,2360,1872,64,2,62,110,1301,6379,4524,1855,29095,17015,12080,4738,536,26,2,0,0,0,0,38,2,0,468,657,21191,4316,57,2,0,55,33,17,5,0,0,523,1491,1485,6,0,408,5999,727,235,23,88,4926,18,0,0,2,16,15905,0,9187,9096,91,0,0,0,39,39,0,428,0,14127,14,41,80297,210418,10,10443016,5484470,4958546,210418,2014.9159974474805
sikkim,10070,12,14,2,0,47,1,0,1,46,1,45,9,20,13,0,0,0,7,1,0,1,0,13,112,53,59,126,22,104,1,81,1,0,65,4,0,4,0,7,0,4,10,37,7,3,0,0,3,0,3,0,0,0,40,58,56,2,0,0,34,14,1,0,2,17,3,0,0,0,3,5,0,47,46,1,0,0,0,0,0,0,4,0,162,0,1,216,1065,30,610577,323070,287507,1065,174.4251748755685
tamil nadu,84588,1805,2922,50,0,455,0,0,0,455,2,453,16,1746,274,1,7,1080,384,101,0,101,74,1969,5266,3052,2214,11969,4033,7936,314,2784,120,0,19,211,29,182,0,5,21,2408,242,4536,168,161,1,0,160,62,76,22,0,0,675,1519,1513,6,0,95,1102,46,71,1,1,983,229,2,157,0,70,2103,0,14704,14599,105,0,0,0,16,16,0,662,1,52844,0,7,84665,193200,7,13879395,6957261,6922134,193200,1391.9915097163816
telangana,26182,1308,1062,123,1,979,0,0,0,979,14,965,73,1152,432,5,5,247,463,59,1,58,1,308,4949,3305,1644,15342,4835,10507,25,766,37,3,49,21,7,14,0,13,0,643,635,8519,191,68,0,0,68,21,36,10,1,0,482,1057,1056,1,0,289,3188,620,176,45,426,1921,1142,5,43,3,1091,6369,0,6514,6356,158,3,0,3,18,18,0,171,0,14953,60,10,37013,106830,32,35003674,17611633,17392041,106830,305.1965345123486
tripura,18126,140,79,3,0,239,0,0,0,239,15,224,35,126,4,7,6,79,30,1,1,0,3,43,219,170,49,369,107,262,1,92,0,0,10,0,0,0,0,0,0,82,38,145,25,9,0,0,9,0,6,3,0,0,59,1232,1228,4,0,33,492,82,184,1,8,217,11,0,0,0,11,702,0,171,168,3,1,0,1,0,0,0,12,0,548,0,3,668,5499,23,399688,199616,200072,5499,1375.8231420507996
uttar pradesh,153064,5150,5223,1412,506,3467,189,5,184,3278,573,2705,324,12361,2795,539,82,7338,1607,294,23,271,75,3920,6921,5207,1714,48380,29561,18819,52,6438,51,0,11,75,66,9,92,9,3,6197,4074,10636,569,111,1,0,110,66,36,8,0,0,250,10867,10812,42,13,2469,8605,4435,1066,75,835,2194,29,0,2,3,24,10471,0,14619,14486,133,0,0,0,26,25,1,609,0,16199,4,137,66277,240475,2,25302925,13433369,11869556,240475,950.3841947126666
uttarakhand,26182,218,171,38,14,270,0,0,0,270,1,269,41,691,141,4,2,10,534,19,1,18,1,155,323,274,49,1737,856,881,0,466,2,0,18,4,4,0,2,4,0,436,135,390,200,11,0,0,11,2,2,7,0,0,8,181,181,0,0,38,343,22,24,1,7,289,4,0,0,0,4,301,0,661,657,4,0,0,0,4,3,1,11,0,485,4,6,2230,9156,20,1340397,706939,633458,9156,683.081206538063
west bengal,60420,2370,7355,359,525,3409,1,0,1,3408,184,3224,1732,7285,2435,53,106,1508,3183,143,5,138,1132,606,359,302,57,22915,5629,17286,933,5509,107,107,360,12,3,9,7,5,0,4911,2028,7239,570,359,0,0,359,105,208,39,5,2,554,18236,18192,40,4,504,5846,1077,700,63,262,3744,546,4,5,8,529,23564,5,5842,5035,807,8,2,6,21,21,0,555,131,11680,61,28,60639,193048,4,18063509,9357777,8705732,193048,1068.718154374103
